SDN,,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,mgL_9,mgL_10,mgL_11,mgL_12,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,QF_DO_1,QF_DO_2,QF_DO_3,QF_DO_4,QF_DO_5,QF_DO_6,QF_DO_7,QF_DO_8,QF_DO_9,QF_DO_10,QF_DO_11,QF_DO_12,,QF_TC_1,QF_TC_2,QF_TC_3,QF_TC_4,QF_TC_5,QF_TC_6,QF_TC_7,QF_TC_8,QF_TC_9,QF_TC_10,QF_TC_11,QF_TC_12,,QF_DO2_1,QF_DO2_2,QF_DO2_3,QF_DO2_4,QF_DO2_5,QF_DO2_6,QF_DO2_7,QF_DO2_8,QF_DO2_9,QF_DO2_10,QF_DO2_11,QF_DO2_12
738197.4375,2/10/21 10:30,8.217013437,7.965857589,7.993669479,NaN,8.114632845,8.291434083,8.157569999,8.200639257,8.182933262,,,8.28085785,12.3,13.8,13.6,,12.8,12,12.6,12.3,12.4,,,11.8,4,4,4,,4,4,4,1,4,,,4,,4,4,4,,4,4,4,1,4,,,4,,0,0,0,,0,0,0,0,0,,,0
738197.4583,2/10/21 10:59,7.62430373,3.249335969,10.76383184,NaN,5.695971129,6.073603366,5.795669223,4.60094632,5.204562164,,,5.079646584,16.1,11.2,16.2,,20,10.1,19.6,10.5,19.5,,,10,1,4,4,,4,4,4,1,4,,,4,,4,1,4,,4,1,4,1,4,,,4,,0,0,0,,0,0,0,0,0,,,0
738197.4792,2/10/21 11:30,7.601116248,3.004570185,10.73149054,NaN,5.833777543,6.728510257,5.893301947,4.292587575,5.390186202,,,5.188894825,15.8,11.5,16,,20.6,10.3,19.8,12,19.8,,,10,1,4,1,,4,1,1,1,1,,,4,,4,1,1,,4,1,4,1,4,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.5,2/10/21 12:00,7.786472165,3.052614154,10.52595719,NaN,5.788248459,6.337304563,5.829853748,4.214769156,4.866416202,,,5.30809411,16,12.6,16.2,,20.3,10.6,19.5,12.8,19.6,,,10.1,1,1,1,,1,1,1,1,1,,,1,,1,4,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.5208,2/10/21 12:29,7.719938393,2.962474613,10.81447303,NaN,5.804382427,5.912729373,5.726195007,4.073502665,4.920472117,,,5.381976708,16.2,12.7,16.2,,19.9,10.6,18.9,13,19.3,,,10.2,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.5417,2/10/21 13:00,7.808456072,3.062496474,10.82378429,NaN,5.747406434,5.8649375,5.89413035,4.180038935,5.007718259,,,5.599811491,16.2,13,16.3,,19.9,10.5,19.4,12.9,19.2,,,10.3,1,4,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,4,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.5625,2/10/21 13:30,7.706518647,3.172858681,10.6742634,NaN,5.749013849,5.832412389,6.255823077,4.14820719,5.025809563,,,5.03792936,16.1,12.9,16.5,,20.2,10.6,20.1,12.7,19.5,,,10.3,1,4,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.5833,2/10/21 13:59,7.699851287,2.99588905,10.43034424,NaN,5.736746066,5.742633659,6.209054937,4.260520975,4.959760298,,,5.360049719,16,12.8,16.6,,20.1,10.5,20.4,12.7,19.5,,,10.2,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.6042,2/10/21 14:30,7.726848902,3.091553493,10.64744775,NaN,5.762923589,5.73588901,6.324784728,4.121823111,4.974764459,,,5.600916614,16.4,13,17.1,,20.3,10.6,20.6,13,19.4,,,10.3,1,1,1,,1,1,1,1,1,,,1,,1,1,4,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738197.625,2/10/21 15:00,7.743528641,3.000402249,10.52335982,NaN,5.820430244,5.778932989,6.556050311,4.291153003,4.958846911,,,5.183251571,16.6,13.3,17.5,,20.3,10.6,20.7,13.2,19.5,,,10.2,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
