POP,TIMESTEP,SITE,TRT,pSurv,Ind,Deaths,AveInitialWt,WtStdev,WtSterr
S,1,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,2,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,3,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,4,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,5,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,6,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,7,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,8,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,9,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,10,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,11,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,12,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,13,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,14,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,15,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,16,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,17,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,18,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,19,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,20,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,21,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,22,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,23,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,24,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,25,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,26,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,27,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,28,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,29,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,30,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,31,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,32,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,33,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,34,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,35,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,36,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,37,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,38,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,39,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,40,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,41,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,42,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,43,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,44,WP,NF,100,12,0,21.97955,20.826916,6.012212779
S,45,WP,NF,100,12,0,21.97955,20.826916,6.012212779
