Num,POP,Site,Bin,Header,Trt,Sample ID,WetWtI,BuoyWtI,LengthI,WidthI,WetWtF,BuoyWtF,LengthF,WidthF,Disease,Grazing,VTYPE,RUN,CS,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Time,DO (mg/L),Temp,Problem,CF,SpineLoss,Gfoil,Sfoil,Ganimal,Sanimal,G_AFDW,S_AFDW,Time,Status
1,SOUTH,HA,6A,6,NC,HA_NC1,30.0054,5.3929,20,43,31.5279,5.5126,23,39,N,0.264,L,1,S,11:56,7.91,10.6,12:02,7.57,10.6,12:06,7.44,10.5,12:11,7.16,10.5,12:15,7.09,10.5,12:18,6.94,10.5,12:21,6.84,10.5,G,C,N,0.6505,1.3963,0.7802,11.3933,0.6651,10.0576,83,0
2,SOUTH,HA,6A,6,NC,HA_NC2,41.5246,6.1589,27,50,43.5933,6.6367,28,49,N,0.355,L,1,S,11:56,6.99,10.6,12:02,6.57,10.6,12:06,6.3,10.5,12:12,5.98,10.5,12:15,5.78,10.5,12:18,5.58,10.5,12:21,5.41,10.5,G,C,Y,0.6501,1.4887,0.9116,13.065,0.6836,11.5632,83,0
3,SOUTH,HA,6B,6,NC,HA_NC3,11.094,1.7355,17,30,12.3432,2.192,15,32,N,0.55,S,1,S,11:51,8.08,10.6,11:59,7.7,10.6,12:04,7.45,10.5,12:09,7.15,10.5,12:13,7.03,10.5,12:16,6.93,10.5,12:19,6.8,10.5,G,C,N,0.6752,1.3961,0.7069,5.4096,0.6851,4.8527,83,0
4,SOUTH,HA,6B,6,NC,HA_NC4,6.8742,1.0868,17,26,9.2595,1.5459,15,30,N,0.816,S,1,S,11:53,8.13,10.6,12:00,7.67,10.6,12:04,7.45,10.5,12:10,7.17,10.5,12:13,7.1,10.5,12:16,6.95,10.5,12:20,6.79,10.5,G,C,N,0.7567,1.3669,0.7701,4.2974,0.7601,3.843,83,0
5,SOUTH,HA,10A,10,NC,HA_NC5,2.5369,0.4232,7,19,4.6795,0.8402,13,25,N,0.375,S,1,S,11:53,8.53,10.6,12:01,8.25,10.6,12:05,8.13,10.5,12:10,7.97,10.5,12:13,7.96,10.5,12:17,7.77,10.5,12:20,7.7,10.5,G,C,N,0.6569,1.6391,0.6623,3.2378,0.6589,2.9998,83,0
6,SOUTH,HA,10A,10,NC,HA_NC6,21.866,3.656,22,37,22.7983,3.8438,23,39,N,1.537,L,1,S,11:57,8.43,10.6,12:03,8.17,10.5,12:07,8,10.5,12:12,7.83,10.5,12:15,7.69,10.5,12:18,7.58,10.5,12:22,7.49,10.5,G,C,N,0.64,1.1619,0.728,8.2028,0.6541,7.2182,83,0
7,SOUTH,HA,10B,10,NC,HA_NC7,23.6528,3.6209,23,38,25.0982,3.984,22,39,N,1.504,L,1,S,11:58,8.74,10.6,12:03,8.36,10.5,12:08,8.12,10.5,12:12,7.86,10.5,12:15,7.69,10.5,12:19,7.56,10.5,12:22,7.43,10.5,G,C,N,0.6198,1.4474,0.7577,8.7668,0.6402,7.7494,83,0
8,SOUTH,HA,10B,10,NC,HA_NC8,17.8261,3.0914,18,36,20.1537,3.5138,22,38,N,0.635,,,,,,,,,,,,,,,,,,,,,,,,,,C,N,0.6836,1.5656,0.8346,8.0141,0.7065,7.1223,83,0
9,SOUTH,HA,12A,12,NC,HA_NC9,93.8605,13.5263,32,64,93.862,12.7905,32,63,Y,2.073,,,,,,,,,,,,,,,,,,,,,,,,,,C,Y,0.6305,2.3588,0.839,25.2401,0.6612,22.5661,83,0
10,SOUTH,HA,12A,12,NC,HA_NC10,73.2093,9.5113,31,62,73.449,9.1322,33,61,N,0.928,,,,,,,,,,,,,,,,,,,,,,,,,,C,Y,0.6498,1.7095,0.6901,17.9558,0.6621,16.1056,83,0
11,SOUTH,HA,12B,12,NC,HA_NC11,69.6389,10.3273,29,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,30,1
12,SOUTH,HA,12B,12,NC,HA_NC12,7.0336,1.0552,13,28,9.1794,1.5045,18,28,N,0.722,S,1,S,11:54,8.95,10.6,12:01,8.34,10.6,12:05,8.06,10.5,12:10,7.75,10.5,12:14,7.63,10.5,12:17,7.49,10.5,12:20,7.32,10.5,G,C,N,0.6691,1.9066,0.6873,4.7811,0.6786,4.3299,83,0
13,SOUTH,HA,2A,2,NF,HA_NF1,36.8755,5.7087,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1
14,SOUTH,HA,2A,2,NF,HA_NF2,2.3982,0.3829,10,19,4.2549,0.6631,12,21,N,0.219,S,2,S,12:50,7.03,13,12:52,6.85,13,12:55,6.74,13,12:59,6.61,13,13:03,6.48,13,13:06,6.37,13,13:08,6.32,13,G,F,N,0.659,1.9522,0.6796,3.2542,0.6637,3.0239,83,0
