Tub,Date,Temp,pH,DO (mg/L),DO (% sat),Salinity (ppt),Time,Notes
10A,2/13/21,11.5,7.89,5.01,56.8,34.33,11:44,
10B,2/13/21,11.5,7.89,5.08,57.9,34.33,11:43,
11A,2/13/21,16.3,7.95,4.44,55.7,34.36,11:40,
11B,2/13/21,16.5,7.79,4.39,55.4,34.35,11:40,
12A,2/13/21,12.5,7.93,5.04,58.9,34.29,11:41,
12B,2/13/21,11.8,7.92,5.14,59,34.33,11:42,
1A,2/13/21,14.9,7.94,4.72,57.7,34.32,11:37,
1B,2/13/21,15.9,7.93,4.55,56.6,34.36,11:38,
2A,2/13/21,13.7,7.83,4.06,48.2,34.33,11:46,
2B,2/13/21,13.9,7.83,3.86,46,34.34,11:47,
3A,2/13/21,15.3,7.97,4.67,57.4,34.14,11:39,
3B,2/13/21,16.2,7.97,4.51,56.5,34.35,11:38,
4A,2/13/21,13.4,7.78,3.56,42,34.34,11:48,
4B,2/13/21,13.5,7.78,3.28,38.8,34.34,11:48,
5A,2/13/21,19,7.96,2.16,28.5,34.37,11:54,
5B,2/13/21,18.6,7.96,2.15,28.2,34.37,11:54,
6A,2/13/21,11.4,7.89,4.92,56.1,34.25,11:44,
6C,2/13/21,11.4,7.9,4.87,54.9,34.32,11:45,
7A,2/13/21,19,7.95,2.17,28.7,34.37,11:53,
7B,2/13/21,18.8,7.96,2.23,29.3,34.37,11:52,
8A,2/13/21,13.5,7.78,3.08,36.5,34.34,11:49,
8B,2/13/21,13.8,7.79,2.91,34.4,34.34,11:50,
9A,2/13/21,18.6,7.98,2.44,31.9,34.35,11:51,
9B,2/13/21,18.6,7.93,2.28,29.8,34.37,11:52,
10A,2/14/21,11.1,7.93,8.66,98.1,34.45,13:02,
10B,2/14/21,11.1,7.94,8.71,98.7,34.45,13:03,
11A,2/14/21,16.2,7.97,8.87,111.2,34.48,12:54,
11B,2/14/21,16.2,7.98,8.97,112.9,34.48,12:55,
12A,2/14/21,12.1,8.07,9.9,115.1,34.43,13:04,
12B,2/14/21,11.5,8.01,9.73,111.1,34.45,13:05,
1A,2/14/21,12.1,7.93,8.88,102.5,34.56,12:50,
1B,2/14/21,15.3,7.92,8.71,107.1,34.48,12:52,
2A,2/14/21,13.5,7.84,6.14,73,34.46,13:09,
