SDN,pH_1,pH_2,pH_3,pH_4,pH_5,pH_6,pH_7,pH_8,pH_9,pH_10,pH_11,pH_12,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,QF_pH_1,QF_pH_2,QF_pH_3,QF_pH_4,QF_pH_5,QF_pH_6,QF_pH_7,QF_pH_8,QF_pH_9,QF_pH_10,QF_pH_11,QF_pH_12,QF_TC_1,QF_TC_2,QF_TC_3,QF_TC_4,QF_TC_5,QF_TC_6,QF_TC_7,QF_TC_8,QF_TC_9,QF_TC_10,QF_TC_11,QF_TC_12
738185.000034722,7.876348,7.383652,7.925276,7.585016,7.787104,7.858605,7.830453,7.575198,7.838029,8.005939,14,7.966597,15.872849,11.01997,15.997589,11.900883,20.312397,9.59058,19.984509,11.386562,19.803642,9.854237,15.938835,9.761356,1,4,1,4,4,4,4,1,1,4,4,4,4,4,4,4,1,1,4,1,1,4,1,4
738185.020868056,7.87852500848668,7.58231395079737,7.93124200342736,7.73475799996731,7.80512899668579,7.77048299824986,7.78410501128288,7.57364099493314,7.83441801345044,8.01012200691759,14,7.97489999005487,15.6416509859963,11.6767727526818,15.7682299859184,12.2682990134002,20.2823749912443,9.43829699545365,19.3496970392801,11.268672989899,19.6667369668278,9.61572599503121,15.7217639789832,9.49805799355515,1,4,1,4,1,4,4,1,4,4,4,4,1,1,1,4,1,1,1,1,1,1,1,1
738185.041701389,7.87545849915636,7.59986273769057,7.92999950127363,7.66216274658459,7.80291600001257,7.77721149827878,7.77607799835799,7.57153874319496,7.76782775002452,8.01086449912367,14,7.96998175372596,15.8404045002301,11.7142826930797,15.9537084964029,12.3016572399449,20.5696717457598,9.46101225236432,19.6290279957026,11.2862262508103,19.2938049905251,9.70530925515549,15.9233054979569,9.61408075301685,1,4,1,1,1,4,1,4,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1
738185.062534722,7.87413975082604,7.62375826108298,7.92966299417122,7.57110376462098,7.79603175082604,7.8708469974804,7.83556675154018,7.63496775589038,7.81590474345834,8.01580500346005,14,7.97020950418173,15.8807915045036,12.1062952836739,16.0078724918704,11.9256342604644,20.5953010087004,9.54790124248017,20.0858687599187,11.6838310092235,19.6613959557989,9.76185999232553,15.9549390100633,9.64023599253675,1,4,1,4,4,1,1,1,4,4,4,4,1,4,1,1,1,1,1,4,1,1,1,1
738185.083368056,7.88035550160178,7.43813205138276,7.93359598669791,7.69720803081859,7.78355200661333,7.74179349485267,7.77985748693177,7.65934498809602,7.84193650336701,8.01806100506435,14,7.97553849332884,15.5995790207,11.2287710810949,15.7085990004979,11.9607925583808,19.9499550330163,9.333339998964,19.2538164343219,11.5526485172575,19.5881194822345,9.59701951910823,15.6551915061481,9.50402800569802,1,4,1,1,4,1,1,1,1,4,4,4,1,4,1,1,1,1,1,4,1,1,1,1
738185.104201389,7.877867,7.411989,7.932813,7.712343,7.798593,7.882797,7.830632,7.612957,7.817916,8.021866,14,7.970943,15.823372,10.99007,15.955006,12.205074,20.464386,9.495609,19.81657,11.411072,19.652348,9.789059,15.898212,9.663609,1,1,1,1,1,4,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1
738185.125034722,7.873853,7.511524,7.928255,7.698391,7.789883,7.746195,7.829021,7.552913,7.772038,8.017065,14,7.988811,15.82098,11.286701,15.939449,12.311871,20.491219,9.34499,20.006927,11.206764,19.461548,9.583775,15.877762,9.489979,1,1,1,4,1,1,4,4,1,4,4,4,1,1,1,4,4,4,1,1,1,1,1,1
738185.145868056,7.87073175084112,7.49250122526038,7.92885800585895,7.61066799490045,7.76733124740873,7.92337325259881,7.77539749522483,7.57880551089061,7.82220900465699,8.01268850345754,14,7.96630099935124,16.0827787500566,11.4638919031085,16.2077372463174,12.2328729723498,19.5320682767337,9.63397024174089,19.5602409765994,11.4601855186908,19.902197869026,9.87828849767905,16.1618237636403,9.71054270358226,1,1,1,4,4,4,1,4,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1
738185.166701389,7.87400875039919,7.64883724712397,7.91913650040359,7.59132224958321,7.79055425001823,7.75027449913122,7.83807875244101,7.6651115064134,7.77211600622858,8.02425999526256,14,7.97251474999183,15.8270672536141,11.7562009620954,15.9371730031583,11.7588892420697,20.0509034948011,9.23813975508382,19.7145092599206,11.5050002407697,19.1045407569999,9.52976825081032,15.9225885031746,9.43245525221093,1,4,1,4,4,1,1,4,1,4,4,4,1,1,1,1,1,4,1,4,1,1,1,1
738185.187534722,7.87200399662544,7.66370899759104,7.92764824497966,7.65892102749433,7.81071424669962,7.92772699743514,7.76966124325466,7.61849599153092,7.79928775823397,8.0194357543062,14,7.96986599752063,15.9617650004023,12.0693764553236,16.0973734954964,11.9330662716442,19.5556257395255,9.47163550127489,19.175335516302,11.4614019939047,19.3070852888589,9.85274874666191,16.058879751515,9.72785924764007,1,4,1,1,1,4,1,1,4,4,4,4,1,4,1,1,4,1,1,1,1,1,1,1
